City,State,Zip input,Miles,Roundtrip miles,RPM,Base rate,Fuel (32%),Linehaul + FSC
GARBERVILLE,CA,95542,94,188,3.02869288,569.3942614,182.2061637,751.6004251
LATON,CA,93242,94,188,3.02869288,569.3942614,182.2061637,751.6004251
FOREST FALLS,CA,92339,94,188,3.02869288,569.3942614,182.2061637,751.6004251
ENCINITAS,CA,92024,94.4,188.8,3.015873016,569.3968254,182.2069841,751.6038095
VALLEY CENTER,CA,92082,95,190,3.003161222,570.6006322,182.5922023,753.1928346
MURRIETA,CA,92562,95.1,190.2,3.003161222,571.2012645,182.7844046,753.9856691
CORONADO,CA,92118,95.2,190.4,3.043022036,579.3913956,185.4052466,764.7966422
OCEANSIDE,CA,92056,95.4,190.8,3.039832285,580,185.6,765.6
SUN VALLEY,CA,91352,95.4,190.8,3.039832285,580,185.6,765.6
SAN BERNARDINO,CA,92407,95.6,191.2,3.03030303,579.3939394,185.4060606,764.8
LYTLE CREEK,CA,92358,95.8,191.6,3.03030303,580.6060606,185.7939394,766.4
EL CENTRO,CA,92243,96.3,192.6,3.014553015,580.6029106,185.7929314,766.395842
PALMDALE,CA,93591,96.3,192.6,3.014553015,580.6029106,185.7929314,766.395842
BIEBER,CA,96009,96.4,192.8,3.005181347,579.3989637,185.4076684,764.8066321
PORT HUENEME,CA,93041,96.4,192.8,3.005181347,579.3989637,185.4076684,764.8066321
CARUTHERS,CA,93609,97,194,2.989690722,580,185.6,765.6
DARWIN,CA,93522,97.1,194.2,2.989690722,580.5979381,185.7913402,766.3892784
ARLINGTON,AZ,85322,97.3,194.6,2.980472765,580,185.6,765.6
VICTORVILLE,CA,92395,97.3,194.6,2.980472765,580,185.6,765.6
LAKE HUGHES,CA,93532,97.3,194.6,2.980472765,580,185.6,765.6
SAN MARCOS,CA,92069,97.5,195,2.974358974,580,185.6,765.6
WARNER SPRINGS,CA,92086,97.6,195.2,2.974358974,580.5948718,185.790359,766.3852308
HINKLEY,CA,92347,97.6,195.2,2.974358974,580.5948718,185.790359,766.3852308
SANTA BARBARA,CA,93103,97.8,195.6,2.965235174,580,185.6,765.6
SAN DIEGO,CA,92117,98.1,196.2,2.953156823,579.4093686,185.410998,764.8203666
TEHACHAPI,CA,93561,98.3,196.6,2.953156823,580.5906314,185.789002,766.3796334
TRUCKEE,CA,96161,99.2,198.4,2.920443102,579.4159114,185.4130916,764.829003
TWIN PEAKS,CA,92391,99.2,198.4,2.920443102,579.4159114,185.4130916,764.829003
LA JOLLA,CA,92037,100,200,2.5,500,160,660
HELM,CA,93627,100,200,2.5,500,160,660
DULZURA,CA,91917,101,202,2.5,505,161.6,666.6
YERMO,CA,92398,101,202,2.5,505,161.6,666.6
ENCINITAS,CA,92024,102,204,2.5,510,163.2,673.2
TSAILE,AZ,86556,102,204,2.5,510,163.2,673.2
SOUTH GATE,CA,90280,103,206,2.5,515,164.8,679.8
RIALTO,CA,92376,103,206,2.5,515,164.8,679.8
SAN DIEGO,CA,92122,104,208,2.5,520,166.4,686.4
JUNE LAKE,CA,93529,104,208,2.5,520,166.4,686.4
LANCASTER,CA,93534,104,208,2.5,520,166.4,686.4
COLTON,CA,92324,105,210,2.5,525,168,693
GUATAY,CA,91931,106,212,2.5,530,169.6,699.6
SOMIS,CA,93066,107,214,2.5,535,171.2,706.2
ESCONDIDO,CA,92025,107,214,2.5,535,171.2,706.2
SAN DIEGO,CA,92103,107,214,2.5,535,171.2,706.2
SAN DIEGO,CA,92119,107,214,2.5,535,171.2,706.2
COMPTON,CA,90221,107,214,2.5,535,171.2,706.2
JULIAN,CA,92036,108,216,2.5,540,172.8,712.8
SAN DIEGO,CA,92123,108,216,2.5,540,172.8,712.8
AMBOY,CA,92304,108,216,2.5,540,172.8,712.8
SAN DIEGO,CA,92106,108,216,2.5,540,172.8,712.8
LONG BEACH,CA,90805,108,216,2.5,540,172.8,712.8
OLANCHA,CA,93549,109,218,2.5,545,174.4,719.4
SAN DIEGO,CA,92128,109,218,2.5,545,174.4,719.4
YORBA LINDA,CA,92885,109,218,2.5,545,174.4,719.4
VISTA,CA,92083,110,220,2.5,550,176,726
LA JOLLA,CA,92037,110,220,2.5,550,176,726
DEL MAR,CA,92014,110,220,2.5,550,176,726
JACUMBA,CA,91934,110,220,2.5,550,176,726
MOUNT LAGUNA,CA,91948,111,222,2.5,555,177.6,732.6
PALMDALE,CA,93550,111,222,2.5,555,177.6,732.6
MENIFEE,CA,92586,112,224,2.5,560,179.2,739.2
MOORPARK,CA,93021,113,226,2.5,565,180.8,745.8
SAN DIEGO,CA,92122,113,226,2.5,565,180.8,745.8
SAN DIEGO,CA,92114,113,226,2.5,565,180.8,745.8
CHULA VISTA,CA,91911,113,226,2.5,565,180.8,745.8
PALM SPRINGS,CA,92262,113,226,2.5,565,180.8,745.8
